account_id,gender,seniorcitizen,partner,dependents,months_with_provider,phone_service,extra_lines,internet_plan,addon_security,addon_backup,addon_device_protect,addon_techsupport,stream_tv,stream_movies,contract_type,paperless_billing,payment_method,monthly_fee,lifetime_spend,churned,customer_hash,marketing_opt_in
6234-RAAPL,Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,3388b4d58e8a,0
6047-YHPVI,Male,0,No,No,,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,ef7638e75163,0
6572-ADKRS,Female,0,No,No,46.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,f821dec113cc,0
5380-WJKOV,Male,0,No,No,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,,1,d12eeb110bda,1
8168-UQWWF,Female,0,No,No,11.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,4c0debe975eb,0
8865-TNMNX,Male,0,Yes,Yes,10.0,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,3f093a66ac6f,0
9489-DEDVP,Female,0,Yes,Yes,70.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,7203b857d900,1
9867-JCZSP,Female,0,Yes,Yes,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,76d9c95a9b3a,0
4671-VJLCL,Female,0,No,No,63.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,,0,4cc9f809c114,0
4080-IIARD,Female,0,Yes,No,13.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,d8fd8a516923,1
3714-NTNFO,Female,0,No,No,49.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,0bed69f945b7,0
5948-UJZLF,Male,0,No,No,2.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,,0,dd0b584550c2,0
7760-OYPDY,Female,0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,,1,6325ef68f3f1,0
7639-LIAYI,Male,0,No,No,52.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,350dd6dccc91,0
2954-PIBKO,Female,0,Yes,Yes,69.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,e9ef2630feee,1
8012-SOUDQ,Female,1,No,No,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,a8f8a3bda730,0
9420-LOJKX,Female,0,No,No,15.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,nan,99.1,1426.4,1,aacf7db4d09f,1
6575-SUVOI,Female,1,Yes,No,25.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,ae08cae7a6d1,0
7495-OOKFY,Female,1,Yes,No,8.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,41b35d5203e8,0
4667-QONEA,Female,1,Yes,Yes,60.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,,0,f35269c5ca4e,0
1658-BYGOY,Male,1,No,No,,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,nan,95.45,1752.55,1,62fe0efd4a89,1
8769-KKTPH,Female,0,Yes,Yes,63.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,9a8b800fe92c,0
5067-XJQFU,Male,1,Yes,Yes,66.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,2650c8580685,0
3957-SQXML,Female,0,Yes,Yes,34.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,2367.320617340984,0,d328e60f7295,0
5954-BDFSG,Female,0,No,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,f488371acf54,0
0434-CSFON,Female,0,Yes,No,47.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,8bf03447d0d9,0
1215-FIGMP,Male,0,No,No,60.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,9a1b38a95670,1
0526-SXDJP,Male,0,Yes,No,72.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,b17a1f60a8ac,0
0557-ASKVU,Female,0,Yes,Yes,18.0,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,7d58294bcde1,0
5698-BQJOH,Female,0,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,,1,2e604d51b350,0
5122-CYFXA,Female,0,No,No,3.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,nan,75.3,244.1,0,97d5323716dc,0
8627-ZYGSZ,Male,0,Yes,No,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,aecad1d4be71,1
3410-YOQBQ,Female,0,No,No,31.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,56ef9f66da87,1
3170-NMYVV,Female,0,Yes,Yes,50.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,bc701279c3ca,0
7410-OIEDU,Male,0,No,No,10.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,054eed874c14,1
2273-QCKXA,Male,0,No,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,27436d8dee5e,1
0731-EBJQB,Female,0,Yes,Yes,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,ef539ee926b8,0
1891-QRQSA,Male,1,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,5504a3f197de,0
8028-PNXHQ,Male,0,Yes,Yes,62.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,8ab82637933d,0
5630-AHZIL,Female,0,No,Yes,3.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,63bbdcf94d44,1
2673-CXQEU,Female,1,No,No,56.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,de5bec0a2d1f,1
6416-JNVRK,Female,0,No,No,46.0,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,263d6b17ee36,0
5590-ZSKRV,Female,0,Yes,Yes,8.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,6981c35db6e6,0
0191-ZHSKZ,Male,1,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,93279c6e91b9,1
3887-PBQAO,Female,0,Yes,Yes,45.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,674997467749,0
5919-TMRGD,Female,0,No,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,3817cdbb15ac,1
8108-UXRQN,Female,0,Yes,Yes,11.0,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,9d4219a4cb53,1
9191-MYQKX,Female,0,Yes,No,7.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,ba24782f660e,0
9919-YLNNG,Female,0,No,No,42.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,3f7d22cd80f6,0
0318-ZOPWS,Female,0,Yes,No,49.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,,0,eddba806bc8b,0
4445-ZJNMU,Male,0,No,No,9.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,,0,078e43528acf,0
4808-YNLEU,Female,0,Yes,No,35.0,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,1343d20df358,0
1862-QRWPE,Female,0,Yes,Yes,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,8f606888ec45,1
2796-NNUFI,Female,0,Yes,Yes,46.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,a6624bdc4226,1
3016-KSVCP,Male,0,Yes,No,29.0,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,8ee0b4380584,0
4767-HZZHQ,Male,0,Yes,Yes,30.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,97c2084b19f1,0
2424-WVHPL,Male,1,No,No,1.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,4d823cd57c23,0
7233-PAHHL,Male,0,Yes,Yes,66.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,,0,c2c7f0f30b8d,0
6067-NGCEU,Female,0,No,No,65.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,119e6ced8b8a,0
9848-JQJTX,Male,0,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,986ace919501,0
8637-XJIVR,Female,0,No,No,12.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,9f871a0ddf42,0
9803-FTJCG,Male,0,Yes,Yes,,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,4c3e203c95aa,1
0278-YXOOG,Male,0,No,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,88148271c11a,0
3212-KXOCR,Male,0,No,No,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,3553cb3ab89e,0
4598-XLKNJ,Female,1,Yes,No,25.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,768db17b3fcd,1
6380-ARCEH,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,198ad58acc5f,0
3679-XASPY,Female,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,0790799143a5,0
7123-WQUHX,Male,0,No,No,38.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,,0,9bc2e2003d3b,0
5386-THSLQ,Female,1,Yes,No,66.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,60707884c946,0
3192-NQECA,Male,0,Yes,No,68.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,1ec4aa90efff,0
6180-YBIQI,Male,0,No,No,5.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,eb0733dd8b23,1
6728-DKUCO,Female,0,Yes,Yes,,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,d7873dca5afa,0
9750-BOOHV,Female,0,No,No,32.0,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,7485903c6687,1
8597-CWYHH,Male,0,No,No,43.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,c3c359e3911c,0
2848-YXSMW,Male,0,Yes,Yes,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,b696464d658c,0
0486-HECZI,Male,0,Yes,No,55.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,4f7af63b07f6,0
4549-ZDQYY,Female,0,No,No,52.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,a8358166d1d6,1
5712-AHQNN,Female,0,No,No,43.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,a84e30c9e700,1
4846-WHAFZ,Female,1,Yes,No,37.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,63e1e3142658,0
5256-SKJGO,Female,0,Yes,Yes,64.0,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,0,801231584578,1
3071-VBYPO,Male,0,Yes,Yes,3.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,0,53607f61b232,1
9560-BBZXK,Female,0,No,No,36.0,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,0,ef99a98fb16f,1
5299-RULOA,Female,0,Yes,Yes,10.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,63d996166e42,0
8402-OOOHJ,Female,0,No,No,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,,0,6f76aa4f906e,0
9445-ZUEQE,Male,0,Yes,Yes,27.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,,0,699bd2882a17,1
1091-SOZGA,Female,0,Yes,Yes,56.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,0,52d34de04bcf,1
2928-HLDBA,Female,0,No,No,6.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,0,80d21a90294a,1
0404-SWRVG,Male,0,No,No,3.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,69755b8993e9,0
6497-TILVL,Female,0,Yes,Yes,7.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,0,beeac7b5b1e3,0
7219-TLZHO,Female,0,Yes,Yes,4.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,20.85,62.9,0,a02fd32df2a4,0
4622-YNKIJ,Male,0,No,No,33.0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,,0,b6258c0faee2,0
4412-YLTKF,Female,1,No,No,27.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,1c327ec835b2,0
6734-PSBAW,Male,0,Yes,No,72.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,8053ae2cafe1,1
3930-ZGWVE,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,0,b914e855d429,0
2639-UGMAZ,Male,1,No,No,71.0,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,204.9851818363787,3985.35,0,f2473a424ee8,1
2876-GZYZC,Female,0,No,No,13.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,3217.973061020427,0,6d3aab3b9e29,0
6207-WIOLX,Female,0,Yes,Yes,25.0,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,d4b1b931b370,0
8587-XYZSF,Male,0,No,No,67.0,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,3260.1,0,f8e2399ced24,0
3091-FYHKI,Male,0,No,No,1.0,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,nan,35.45,35.45,1,e8d907da23df,1
2372-HWUHI,Male,0,No,No,2.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,c19da9734b11,0
7799-LGRDP,Female,0,No,No,43.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1188.2,0,6ca98151cc44,1
7850-VWJUU,Female,0,No,No,23.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,0,5e7c7b84ebcf,0
3774-VBNXY,Female,0,Yes,Yes,64.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,1277.75,0,319563665b97,0
6217-KDYWC,Male,0,No,Yes,57.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,1170.55,0,19256264dd09,1
0390-DCFDQ,Female,1,Yes,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,a67c6154632f,0
3146-MSEGF,Female,1,Yes,Yes,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,,0,2bb9e0429ae6,0
4080-OGPJL,Female,0,No,No,8.0,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,3eac776b3f27,0
1095-WGNGG,Female,0,Yes,No,61.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,nan,101.05,,0,5aaec33e71da,0
2636-SJDOU,Male,0,No,No,64.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.3,5289.05,0,0c99d77932d3,1
1131-QQZEB,Male,1,Yes,No,71.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.95,,0,8439c7232e55,0
5716-EZXZN,Female,0,Yes,Yes,65.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,,0,17e6a22b1750,0
6837-BJYDQ,Male,0,No,No,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,61.35,0,8f1d8b1d0ea5,0
2135-RXIHG,Male,0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,nan,45.65,,1,0919c433313a,0
