Section,Metric,Value,Details
,,,
Categorical Stats,addon_techsupport,Unique Values,3
Categorical Stats,addon_techsupport,Most Frequent,No
Categorical Stats,addon_techsupport,Frequency of Most Frequent,3531
Categorical Stats,addon_techsupport,Category: No,3531
Categorical Stats,addon_techsupport,Category: Yes,2074
Categorical Stats,addon_techsupport,Category: No internet service,1543
,,,
Categorical Stats,stream_tv,Unique Values,3
Categorical Stats,stream_tv,Most Frequent,No
Categorical Stats,stream_tv,Frequency of Most Frequent,2860
Categorical Stats,stream_tv,Category: No,2860
Categorical Stats,stream_tv,Category: Yes,2745
Categorical Stats,stream_tv,Category: No internet service,1543
,,,
Categorical Stats,stream_movies,Unique Values,3
Categorical Stats,stream_movies,Most Frequent,No
Categorical Stats,stream_movies,Frequency of Most Frequent,2837
Categorical Stats,stream_movies,Category: No,2837
Categorical Stats,stream_movies,Category: Yes,2768
Categorical Stats,stream_movies,Category: No internet service,1543
,,,
Categorical Stats,contract_type,Unique Values,3
Categorical Stats,contract_type,Most Frequent,Month-to-month
Categorical Stats,contract_type,Frequency of Most Frequent,3931
Categorical Stats,contract_type,Category: Month-to-month,3931
Categorical Stats,contract_type,Category: Two year,1718
Categorical Stats,contract_type,Category: One year,1499
,,,
Categorical Stats,paperless_billing,Unique Values,2
Categorical Stats,paperless_billing,Most Frequent,Yes
Categorical Stats,paperless_billing,Frequency of Most Frequent,4231
Categorical Stats,paperless_billing,Category: Yes,4231
Categorical Stats,paperless_billing,Category: No,2917
,,,
Categorical Stats,payment_method,Unique Values,12
Categorical Stats,payment_method,Most Frequent,Electronic check
Categorical Stats,payment_method,Frequency of Most Frequent,2146
Categorical Stats,payment_method,Category: Electronic check,2146
Categorical Stats,payment_method,Category: Mailed check,1472
Categorical Stats,payment_method,Category: Bank transfer (automatic),1423
Categorical Stats,payment_method,Category: Credit card (automatic),1380
Categorical Stats,payment_method,Category: mailed check,3
,,,
Categorical Stats,customer_hash,Unique Values,7043
Categorical Stats,customer_hash,Most Frequent,d9b405ecce55
Categorical Stats,customer_hash,Frequency of Most Frequent,2
Categorical Stats,customer_hash,Category: d9b405ecce55,2
Categorical Stats,customer_hash,Category: 96e12cad02dd,2
Categorical Stats,customer_hash,Category: 7cd7adceb68b,2
Categorical Stats,customer_hash,Category: 617a34b31a06,2
Categorical Stats,customer_hash,Category: 67db383c0de0,2
,,,
Strong Correlations,Variable 1,Variable 2,Correlation
Strong Correlations,months_with_provider,lifetime_spend,0.8000
Strong Correlations,monthly_fee,lifetime_spend,0.5490
,,,
Churn Analysis,Overall Churn Rate,0.2658,26.58%
Churn Analysis,Churned Customers,1900,
Churn Analysis,Retained Customers,5248,
,,,
Churn by Feature,Feature,Category,Churn Rate
Churn by Feature,seniorcitizen,0,0.2366 (23.66%)
Churn by Feature,seniorcitizen,1,0.4171 (41.71%)
Churn by Feature,internet_plan,DSL,0.1904 (19.04%)
Churn by Feature,internet_plan,FFiber optic,0.0000 (0.00%)
Churn by Feature,internet_plan,Fibe optic,1.0000 (100.00%)
Churn by Feature,internet_plan,Fiber optic,0.4196 (41.96%)
Churn by Feature,internet_plan,Fiber optiic,0.5000 (50.00%)
Churn by Feature,internet_plan,Fiber opttic,0.0000 (0.00%)
Churn by Feature,internet_plan,Fiiber optic,0.0000 (0.00%)
Churn by Feature,internet_plan,No,0.0745 (7.45%)
Churn by Feature,internet_plan,iFber optic,0.0000 (0.00%)
Churn by Feature,contract_type,Month-to-month,0.4286 (42.86%)
Churn by Feature,contract_type,One year,0.1107 (11.07%)
Churn by Feature,contract_type,Two year,0.0285 (2.85%)
Churn by Feature,payment_method,BANK TRANSFER (AUTOMATIC),0.0000 (0.00%)
Churn by Feature,payment_method,Bank transfer (automatic),0.1673 (16.73%)
Churn by Feature,payment_method,Credit card (automatic),0.1500 (15.00%)
Churn by Feature,payment_method,ELECTRONIC CHECK,0.0000 (0.00%)
Churn by Feature,payment_method,Electronic check,0.4492 (44.92%)
Churn by Feature,payment_method,MAILED CHECK,1.0000 (100.00%)
Churn by Feature,payment_method,Mailed check,0.1902 (19.02%)
Churn by Feature,payment_method,NAN,0.0000 (0.00%)
Churn by Feature,payment_method,bank transfer (automatic),1.0000 (100.00%)
Churn by Feature,payment_method,credit card (automatic),0.0000 (0.00%)
Churn by Feature,payment_method,electronic check,0.3333 (33.33%)
Churn by Feature,payment_method,mailed check,0.3333 (33.33%)
